GEO_ID,NAME,TOTAL,OCCUPIED,VACANT,VACANT RATIO
20187,"Stanton County, Kansas",931,783,148,0.1589688507
20189,"Stevens County, Kansas",2240,1905,335,0.1495535714
20191,"Sumner County, Kansas",10324,9028,1296,0.1255327392
20193,"Thomas County, Kansas",3573,3162,411,0.1150293871
20195,"Trego County, Kansas",1611,1283,328,0.2036002483
20197,"Wabaunsee County, Kansas",3110,2659,451,0.1450160772
20199,"Wallace County, Kansas",740,608,132,0.1783783784
20201,"Washington County, Kansas",2726,2312,414,0.1518708731
20203,"Wichita County, Kansas",999,846,153,0.1531531532
20205,"Wilson County, Kansas",4485,3636,849,0.1892976589
20207,"Woodson County, Kansas",1828,1355,473,0.2587527352
20209,"Wyandotte County, Kansas",68475,61835,6640,0.09696969697
